,ALogP98,CNS,Drug,HBA,HBD,MW,SMILES,TPSA,TPSA_S,cLogD_ACD_v15,cLogP_ACD_v15,cLogP_Biobyte,fsp3,mapKa,mbpKa,nArom,nAtoms
0,0.63,False,Abacavir,6.0,3.0,286.33231,c1nc2c(nc(nc2n1C3CC(C=C3)CO)N)NC4CC4,101.88,101.88,0.72000003,0.72000003,0.81,0.5,,6.5300002,2.0,21.0
1,2.119,False,Acetohexamide,4.0,2.0,324.39529,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,92.339996,100.72,0.46000001,2.4400001,2.25,0.47,4.3000002,,1.0,22.0
2,3.48,False,Acetyldigitoxin,14.0,4.0,806.97577,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)OC(=O)C)O,188.89999,188.89999,3.0999999,3.0999999,3.46,0.91000003,,,0.0,57.0
3,4.6009998,False,Acrivastine,4.0,1.0,348.43817,Cc1ccc(cc1)/C(=C\CN2CCCC2)/c3cccc(n3)/C=C/C(=O)O,53.43,53.43,2.03,4.5500002,1.46,0.27000001,,8.8800001,2.0,26.0
4,-1.423,False,Acyclovir,7.0,3.0,225.20464,c1nc2c(n1COCCO)[nH]c(nc2=O)N,114.76,114.76,-1.76,-1.76,-2.5999999,0.38,,3.1500001,1.0,16.0
5,-1.289,False,Adefovir,8.0,3.0,273.18573,c1nc(c2c(n1)n(cn2)CCOCP(=O)(O)O)N,146.19,146.19,-5.96,-2.0599999,-1.87,0.38,2.0999999,4.3200002,2.0,18.0
6,0.94099998,False,Albuterol,4.0,4.0,239.31073,CC(C)(C)NCC(c1ccc(c(c1)CO)O)O,72.720001,72.720001,-2.1199999,0.0099999998,0.059999999,0.54000002,,,1.0,17.0
7,-1.2029999,False,Alendronate,8.0,6.0,249.09604,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,180.92,180.92,-7.9099998,-3.52,-5.6399999,1.0,1.42,10.31,0.0,14.0
8,1.418,False,Alfuzosin,8.0,2.0,389.44876,CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC,111.83,111.83,-1.91,-1.0,2.55,0.52999997,,8.6000004,2.0,28.0
9,3.3269999,False,Aliskiren,7.0,4.0,551.7583,CC(C)C(Cc1ccc(c(c1)OCCCOC)OC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,146.13,146.13,0.07,2.74,3.51,0.73000002,,9.7799997,1.0,39.0
10,0.050999999,False,Allopurinol,4.0,2.0,136.11147,c1c2c([nH]n1)ncnc2O,74.690002,74.690002,-4.29,-1.33,0.63,0.0,1.12,10.06,2.0,10.0
11,1.795,False,Alogliptin,5.0,1.0,339.39163,Cn1c(=O)cc(n(c1=O)Cc2ccccc2C#N)N3CCCC(C3)N,93.660004,93.660004,-0.47999999,1.84,1.54,0.38999999,,9.8900003,1.0,25.0
12,1.654,False,Alosetron,2.0,1.0,294.35101,Cc1c(nc[nH]1)CN2CCc3c(c4ccccc4n3C)C2=O,53.919998,53.919998,0.72000003,0.88,1.74,0.28999999,,7.0,3.0,22.0
13,1.995,False,Altretamine,6.0,0.0,210.2794,CN(C)c1nc(nc(n1)N(C)C)N(C)C,48.389999,48.389999,2.3199999,2.4200001,1.67,0.67000002,,6.0700002,1.0,15.0
14,3.5450001,False,Alvimopan,5.0,3.0,424.53256,CC1CN(CCC1(C)c2cccc(c2)O)CC(Cc3ccccc3)C(=O)NCC(=O)O,89.870003,89.870003,0.74000001,3.3800001,2.1600001,0.44,3.4300001,8.8400002,2.0,31.0
