Drug,CNS_pMPO,CNS_pMPO_withSigmoidal
Abacavir,0.44,0.157
Acetohexamide,0.51,0.163
Acetyldigitoxin,0.1,0.102
Acrivastine,0.97,0.949
Acyclovir,0.19,0.111
Adefovir,0.2,0.15
Albuterol,0.39,0.266
Alendronate,0.2,0.203
Alfuzosin,0.41,0.134
Aliskiren,0.18,0.086
Allopurinol,0.48,0.226
Alogliptin,0.66,0.483
Alosetron,0.96,0.754
Altretamine,0.77,0.694
Alvimopan,0.44,0.115
Ambenonium,0.48,0.327
Ambrisentan,0.69,0.438
Amiloride,0.23,0.224
Aminocaproic acid,0.54,0.379
Aminosalicylic acid,0.26,0.06
Amoxicillin,0.24,0.067
Amprenavir,0.1,0.059
Anagrelide,0.86,0.858
Anastrozole,0.63,0.376
Anisindione,0.7,0.701
Anisotropine,0.62,0.527
Apixaban,0.44,0.263
Aspirin,0.65,0.607
Astemizole,0.79,0.747
Atazanavir,0.06,0.027
Atenolol,0.44,0.254
Atorvastatin,0.15,0.039
Atovaquone,0.8,0.73
Avanafil,0.24,0.087
Azathioprine,0.54,0.415
Azilsartan,0.34,0.279
Azithromycin,0.24,0.234
Balsalazide,0.15,0.094
Bedaquiline,0.71,0.705
Benazepril,0.43,0.011
Bendroflumethiazide,0.24,0.127
Bentiromide,0.22,0.003
Betamethasone,0.35,0.136
Betaxolol,0.83,0.599
Bethanechol,0.65,0.647
Bicalutamide,0.29,0.044
Bisoprolol,0.79,0.564
Boceprevir,0.14,0.126
Bosentan,0.2,0.01
Bosutinib,0.6,0.432
Budesonide,0.41,0.111
Bufuralol,0.82,0.685
Busulfan,0.48,0.279
Cabozantinib,0.36,0.048
Canagliflozin,0.2,0.027
Capecitabine,0.23,0.087
Carbenicillin,0.15,0.029
Carbidopa,0.26,0.226
Carglumic acid,0.08,0.076
Carprofen,0.75,0.619
Carteolol,0.58,0.424
Cefaclor,0.27,0.059
Cefdinir,0.1,0.007
Cefditoren,0.06,0.0
Cefpodoxime,0.1,0.0
Cefuroxime,0.1,0.0
Celecoxib,0.65,0.404
Ceritinib,0.27,0.195
Cerivastatin,0.3,0.001
Cetirizine,0.87,0.725
Chenodiol,0.46,0.197
Chlorambucil,0.87,0.737
Chloroquine,0.85,0.854
Chlorotrianisene,0.5,0.41
Chlorphenesin carbamate,0.58,0.287
Chlorpropamide,0.62,0.259
Chlorthalidone,0.26,0.137
Cimetidine,0.47,0.143
Cinoxacin,0.58,0.411
Ciprofloxacin,0.68,0.406
Cisapride,0.56,0.244
Clavulanate,0.37,0.101
Clindamycin,0.35,0.114
Clofazimine,0.74,0.708
Clofibrate,0.65,0.654
Clomiphene,0.47,0.384
Clonidine,0.77,0.539
Cloxacillin,0.27,0.01
Cobicistat,0.18,0.109
Colchicine,0.65,0.3
Crizotinib,0.61,0.278
Cromolyn,0.07,0.0
